address,serviceQualityPoints,communityContributionFactor,finalScore
0xff55a16d30dac4b08485d4431a7d634c26950099,999,1.0,999
0xff55a16d30dac4b08485d4431a7d634c26950099,666,1.0,666
0xff55a16d30dac4b08485d4431a7d634c26950099,444,1.0,444
0xff55a16d30dac4b08485d4431a7d634c26950099,296,1.0,296
0xff55a16d30dac4b08485d4431a7d634c26950099,197,1.0,197
0xfaeb48f18d87c82da714e6f986b4b9360c658faf,999,1.3,1298
0xf92b10c4debfb64d3a0e78c1a044c678b3c37da8,838,1.0,838
0xf6c9ebd49c948888b921f150b03cf63a7ab58a3a,955,1.0,955
0xf0e33495afe697dbe32168bd0743ba32ebb978a3,999,1.0,999
0xf0e33495afe697dbe32168bd0743ba32ebb978a3,666,1.0,666
0xf0e33495afe697dbe32168bd0743ba32ebb978a3,443,1.0,443
0xe7e1d3ef34df83441215c437ac6a278618730dbc,1000,1.0,1000
0xe7e1d3ef34df83441215c437ac6a278618730dbc,666,1.0,666
0xe7e1d3ef34df83441215c437ac6a278618730dbc,444,1.0,444
0xe7e1d3ef34df83441215c437ac6a278618730dbc,296,1.0,296
0xe7e1d3ef34df83441215c437ac6a278618730dbc,197,1.0,197
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,999,1.9,1898
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,666,1.9,1265
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,444,1.9,843
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,296,1.9,562
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,197,1.9,374
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,131,1.9,248
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,87,1.9,165
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,58,1.9,110
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,39,1.9,74
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,26,1.9,49
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,17,1.9,32
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,11,1.9,20
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,7,1.9,13
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,5,1.9,9
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,3,1.9,5
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,2,1.9,3
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,1,1.9,1
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,1,1.9,1
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
